,Date,Topic,Location,People,Category
41,"Tue, Nov 28, 2023 5:00 pm to 7:00 pm",Walk-in Tutoring: Improve Your Reading and Writing Skills Adults can work with a walk-in tutor for 15-20 minutes. Walk-in tutoring is available on a first-...,Lincoln Heights Branch Library,Adults,Adult Literacy English
42,"Tue, Nov 28, 2023 5:30 pm to 6:30 pm","Knitting and Crocheting Group The knitting and crocheting group is back! Meet and mingle with local knitters, share your techniques, and learn from others. There is no...",Sun Valley Branch Library,"Adults, Seniors","Arts, Crafts & Hobbies English"
43,"Tue, Nov 28, 2023 6:00 pm","Sharing True Stories Come share something that happened to you. You can read a piece that you wrote or speak off-the-cuff. You are also welcome to just listen. The stories can be funny, sad, or...",Online  Westwood Branch Library,Adults,Music & Performances English
44,"Tue, Nov 28, 2023 6:00 pm to 7:30 pm","English Conversation Class With Maddie Speak English with confidence! Join our English conversation class to develop your communication, grammar, and vocabulary skills.",Mar Vista Branch Library,Adults,Adult Literacy English
45,"Tue, Nov 28, 2023 6:00 pm to 7:00 pm","Medicare 101 In this presentation, the Center for Health Care Rights will teach you how to navigate your Medicare benefits. They will discuss eligibility rules for Medicare, when you should enroll,...",Northridge Branch Library,"Adults, Seniors","Community Resources & Services, Health & Wellness English"
46,"Tue, Nov 28, 2023 6:00 pm","Walk-in Tutoring With Phoebe Interested in improving your reading, writing, or conversational skills? Adults can work with a tutor for 20 minutes on a first-come, first-served basis. No...",Westwood Branch Library,Adults,Adult Literacy English
47,"Tue, Nov 28, 2023 6:30 pm",The Mystery Book Club Join us for a discussion of The Arrangement by Robyn Harding. The Mystery Book Club meets the 4th Tuesday of every month at 6:30 pm. New Members are always welcome!,Playa Vista Branch Library,Adults,Book Clubs English
48,"Tue, Nov 28, 2023 6:30 pm to 7:30 pm","Yoga for Beginners Yoga for Beginners is facilitated by Analyn R. Participants should bring their own mats and straps, and classes are held in the Hyde Park Branch Library Community Room.",Hyde Park Miriam Matthews Branch Library,Adults,Health & Wellness English
49,"Tue, Nov 28, 2023 6:30 pm to 7:30 pm","Yoga for Beginners With Analyn R. Yoga for Beginners with Analyn R. is a yoga class for novices, but participants with mobility issues and seniors are also welcome. Please don't forget to...",Hyde Park Miriam Matthews Branch Library,"Adults, Seniors",Health & Wellness English
0,"Tue, Nov 28, 2023 7:00 pm to 8:00 pm","Virtual Film Discussion: Four Sheets to the Wind Join us for our monthly virtual film discussion. On Tuesday, November 28 at 7 PM we will be talking about Four Sheets to the...",Online  Central Library,Adults,Film English
