id,nombre,desc
ARTHTW29,"Arthritis medication #2 taken 2 times/week for the last month","If YES to ARTHRT29: Have you been taking it at least two times per week for the last month?"
OSTEOAR9,"Arthritis since last visit","Since your last study visit, has a doctor, nurse practitioner or other health care provider told you that you had any of the following conditions or treated you for them? Arthritis or osteoarthritis (degenerative joint disease)?"
WORSE9,"As I age, I feel worse about self","Now I am going to read you some statements about some personal feelings that women your age may have. Please tell me whether you personally agree, you feel neutral or you disagree with them. Do you personally agree, feel neutral (have no opinion) or disagree?: As I age, I feel worse about myself."
GOOD9,"As good as others past week","During the past week: I felt that I was just as good as other people"
ASHAPAN9,"Ashamed this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Ashamed"
FOODPNA9,"Atkins Diet past week","If YES to ATKINS9, have you used this food plan in the past week? Atkins Diet"
ATKINS9,"Atkins Diet past year","In the past year have you used: Atkins Diet"
ATTEPAN9,"Attentive this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Attentive"
AVCIGDA9,"Average cigarettes/day since last visit","If YES to SMOKERE9: How many cigarettes, on average, do you smoke per day now?"
GLASBEE9,"Average glasses of beer","How many glasses of beer (a medium glass or serving of beer is twelve ounces) did you drink on average per day, week or month?"
GLASLIQ9,"Average glasses of liquor","How many glasses of liquor or mixed drinks (a medium serving is one shot), did you drink on average per day, week or month?"
GLASWIN9,"Average glasses of wine","How many glasses of wine or wine coolers (a medium glass or serving of wine is 4 to 6 ounces), did you drink on average per day, week or month?"
AWAREBO9,"Aware things happening with body","The next question deals with how you respond to your physical senses. Please indicate the degree to which each statement is TRUE OF YOU in general: I am often aware of various things happening within my body."
ACHES9,"Back aches/pains past 2 weeks","Thinking back over the past two weeks, how often have you had: Back aches or pains?"
DRKBEER9,"Beer past year","In the past year if you drank beer was it usually..."
BETTROF9,"Better off not knowing","People fail to get health care for a variety of reasons. Have any of the following reasons prevented you from getting health care? - I'm better off not knowing"
BIODAY9,"Bioimpedance Day","Date form completed:"
FLGBIOV9,"Bioimpedance: Completed after V9 cutoff (01/31/2007)","Completed after V9 cutoff (01/31/2007)"
BCP19,"Birth Control Pill #1","Since your last study visit, have you taken: Birth control pills?"
BCPTWI19,"Birth Control Pill #1 taken 2 times/week for the last month","If YES to BCP19: Have you been taking it during the past month?"
BCP29,"Birth Control Pill #2","Since your last study visit, have you taken: Birth control pills?"
BCPTWI29,"Birth control pills #2 taken 2 times/week for the last month","If YES to BCP29: Have you been taking it during the past month?"
BCOHOSH9,"Black cohosh","During the past 12 months, have you used any of the following for your health? Black cohosh"
BCOHGEN9,"Black cohosh - General Health","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: For general health?"
BCOHHAR9,"Black cohosh - Heart","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To reduce the risk of heart disease?"
BCOHMEM9,"Black cohosh - Improve Memory","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To improve memory?"
BCOHMEN9,"Black cohosh - Menopausal symptoms","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To relieve menopausal symptoms?"
BCOHOST9,"Black cohosh - Osteoporosis","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To reduce the risk of osteoporosis?"
BCOHOTH9,"Black cohosh - Other reason","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: Is there any other reason you use black cohosh?"
BCOHSPE9,"Black cohosh - Other specify","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: Is there any other reason you use black cohosh? Specify"
BCOHADV9,"Black cohosh - Provider advice","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: On advice from health care provider?"
BCOHPER9,"Black cohosh - Regulate Periods","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To regulate periods?"
BCOHWGH9,"Black cohosh - Weight","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To lose weight or to stay the same weight?"
BCOHLOO9,"Black cohosh - Young Looking","If YES to BCOHOSH9: Please tell me whether or not you use black cohosh: To stay young-looking?"
BLDRWAT9,"Blood Draw Attempted","If YES to BLDDRAW9: Blood draw category:"
BLDDRAW9,"Blood Drawn","Was blood drawn?"
BP19,"Blood pressure medication #1","Since your last study visit, have you taken: Blood pressure pills?"
BPTW19,"Blood pressure medication #1 taken 2 times/week for the last month","If YES to BP19: Have you been taking it at least two times per week for the last month?"
BP29,"Blood pressure medication #2","Since your last study visit, have you taken: Blood pressure pills?"
BPTW29,"Blood pressure medication #2 taken 2 times/week for the last month","If YES to BP29: Have you been taking it at least two times per week for the last month?"
BMI9,"Body Mass Index","BMI is calculated as weight in kilograms divided by the square of height in meters"
BONES19,"Bone #1 broken","Which bones did you break or fracture?"
BONES29,"Bone #2 broken","Which bones did you break or fracture?"
BONES39,"Bone #3 broken","Which bones did you break or fracture?"
BOTANIC9,"Botanica","During the past 12 months, have you used any of the following for your health? Botanica/Curandero"
BOTAGEN9,"Botanica - General Health","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: For general health?"
BOTAHAR9,"Botanica - Heart","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To reduce the risk of heart disease?"
BOTAMEM9,"Botanica - Improve Memory","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To improve memory?"
BOTAMEN9,"Botanica - Menopausal symptoms","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To relieve menopausal symptoms?"
BOTAOST9,"Botanica - Osteoporosis","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To reduce the risk of osteoporosis?"
BOTAOTH9,"Botanica - Other reason","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: Is there any other reason you use botanica/curandero?"
BOTASPE9,"Botanica - Other specify","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: Is there any other reason you use botanica/curandero? Specify"
BOTAADV9,"Botanica - Provider advice","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: On advice from health care provider?"
BOTAPER9,"Botanica - Regulate Periods","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To regulate periods?"
BOTAWGH9,"Botanica - Weight","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To lose weight or to stay the same weight?"
BOTALOO9,"Botanica - Young Looking","If YES to BOTANIC9: Please tell me whether or not you use botanica/curandero: To stay young-looking?"
FLGCV9,"Both Estradiol results (E2) more than 20 pg/mL & within-subject coefficient of variation (CV) is more than 15%","Both E2>20 pg/mL & CV>15%"
BOTCLDS9,"Bothered by cold sweats","How much are you usually bothered by cold sweats?"
BOTHOTF9,"Bothered by hot flashes","How much are you usually bothered by hot flashes or flushes?"
BOTIRRT9,"Bothered by irritability","How much are you usually bothered by irritability or grouchiness?"
LEKBOTH9,"Bothered by leakage","On a scale from 0 to 10, where 0 = Not at all bothered and 10 = Extremely bothered, how much does the leakage of urine bother you?"
BOTNITS9,"Bothered by night sweats","How much are you usually bothered by night sweats?"
BOTSTIF9,"Bothered by stiffness","How much are you usually bothered by stiffness or soreness in joints, neck or shoulders?"
BOTNERV9,"Bothered by tenseness","How much are you usually bothered by feeling tense or nervous?"
BOTHER9,"Bothered past week","During the past week: I was bothered by things that usually don't bother me."
BRSTEXA9,"Breast exam since last visit","Since your last study visit, have you had: A breast physical examination (a doctor or medical assistant feels for lumps in the breast)?"
BRSTPAI9,"Breast pain/tenderness past 2 weeks","Thinking back over the past two weeks, how often have you had: Breast pain/tenderness?"
DTTCAFF9,"Caffeine, mg","Caffeine, mg"
STNDPAI9,"Can't stand pain","The next question deals with how you respond to your physical senses. Please indicate the degree to which each statement is TRUE OF YOU in general: I can't stand pain."
CANCERS9,"Cancer since last visit","Since your last study visit, has a doctor, nurse practitioner or other health care provider told you that you had any of the following conditions or treated you for them? Cancer, or other skin cancer?"
NOTAFFR9,"Cannot afford","People fail to get health care for a variety of reasons. Have any of the following reasons prevented you from getting health care? - Cannot afford"
CHGHHLD9,"Change in anyone living in house","Since your last study visit, has there been any change in who is living in your household?"
CHNGJOB9,"Change in job since last visit","Since your last study visit, has there been a change in any of your jobs, that is: your place of employment, your job title, or your usual job tasks?"
CHANGHR9,"Change in usual hours of work","Since your last study visit, has there been a change in your usual hours of work of any of your jobs?"
CHEMOTH9,"Chemotherapy/radiation for cancer","Since your last study visit, have you received chemotherapy or radiation treatment for this cancer?"
CHILDMO9,"Child moved upsetting since last visit","Since your last study visit, have you experienced any of the following: A child moved out of the house or left the area? If you have, indicate how upsetting it was."
CHOCOCD9,"Chocolate Candy or Candy Bars past year","In the past year if you ate chocolate candy or candy bars were they usually..."
CHOLST19,"Cholesterol medication #1","Since your last study visit, have you taken: Any medications for cholesterol or fats in your blood?"
CHOLTW19,"Cholesterol medication #1 taken 2 times/week for the last month","If YES to CHOLST19: Have you been taking it at least two times per week for the last month?"
CHOLST29,"Cholesterol medication #2","Since your last study visit, have you taken: Any medications for cholesterol or fats in your blood?"
CHOLTW29,"Cholesterol medication #2 taken 2 times/week for the last month","If YES to CHOLST29: Have you been taking it at least two times per week for the last month?"
CRELDIE9,"Close relative died upsetting since last visit","Since your last study visit, have you experienced any of the following: A close relative (husband/partner, child or parent) died? If you have, indicate how upsetting it was."
COGDAY9,"Cognitive Function Day","Date form completed:"
COLDCER9,"Cold Cereal past year","In the past year if you ate cold cereal was it usually..."
COLDSWE9,"Cold sweats past 2 weeks","Thinking back over the past two weeks, how often have you had: Cold sweats?"
NUMCLDS9,"Cold sweats times/day","On the days that you have cold sweats, how many times each day do you usually have them?"
COMBIN19,"Combination estrogen/progestin #1","Since your last study visit, have you taken: Combination estrogen/progestin (such as Premphase or Prempro)?"
COMBTW19,"Combination estrogen/progestin #1 taken 2 times/week for the last month","If YES to COMBIN19: Have you been taking it during the past month?"
COMBIN29,"Combination estrogen/progestin #2","Since your last study visit, have you taken: Combination estrogen/progestin (such as Premphase or Prempro)?"
COMBTW29,"Combination estrogen/progestin #2 taken 2 times/week for the last month","If YES to COMBIN29: Have you been taking it during the past month?"
CAMDAY9,"Complimentary and Alternative Medicines Day","Complimentary and Alternative Medicines Day"
ABILITY9,"Confident in ability to handle problems","In the past two weeks you have: Felt confident about your ability to handle your personal problems?"
COOKCER9,"Cooked Cereal past year","In the past year if you ate cooked cereal (such as oatmeal, oat bran, or grits) was it usually..."
DTTCOPP9,"Copper, mg","Copper, mg"
GETGOIN9,"Could not get going past week","During the past week: I could not get going"
NOREMEB9,"Couldn't remember to take them","Since your last study visit, you were taking hormones and then stopped. What were your reasons for stopping? Couldn't remember to take them"
CRYING9,"Crying spells past week","During the past week: I had crying spells"
BRSTFEE9,"Currently breastfeeding","FOR LIVE BIRTHS ONLY: Are you currently breastfeeding?"
DTTAIU9,"Daily Dietary Estimate (DDE) A_IU, international units","DDE A_IU, international units"
DTTACAR9,"Daily Dietary Estimate (DDE) Alpha Carotene, mcg","DDE Alpha Carotene, mcg"
DTTANZN9,"Daily Dietary Estimate (DDE) Animal Zinc, mg","DDE Animal Zinc, mg"
DTTB19,"Daily Dietary Estimate (DDE) B1, mg","DDE B1, mg"
DTTB69,"Daily Dietary Estimate (DDE) B6, mg","DDE B6, mg"
DTTBCAR9,"Daily Dietary Estimate (DDE) Beta Carotene, mcg","DDE Beta Carotene, mcg"
DTTCALC9,"Daily Dietary Estimate (DDE) Calcium, mg","DDE Calcium, mg"
BATCARB9,"Daily Dietary Estimate (DDE) Carbohydrates before alcohol total, gms","DDE Carbohydrates before alcohol total, gms"
DTTCARB9,"Daily Dietary Estimate (DDE) Carbohydrates, gms","DDE Carbohydrates, gms"
DTTCHOL9,"Daily Dietary Estimate (DDE) Cholesterol, mg","DDE Cholesterol, mg"
DTTDFIB9,"Daily Dietary Estimate (DDE) Dietary Fiber, gms","DDE Dietary Fiber, gms"
DTTFAT9,"Daily Dietary Estimate (DDE) Fat, gms","DDE Fat, gms"
FIBBEAN9,"Daily Dietary Estimate (DDE) Fiber from Beans","DDE Fiber from Beans"
FIBGRAI9,"Daily Dietary Estimate (DDE) Fiber from Grains","DDE Fiber from Grains"
FIBVEGF9,"Daily Dietary Estimate (DDE) Fiber from Vegetable/Fruit","DDE Fiber from Veg/Fruit"
DTTDFE9,"Daily Dietary Estimate (DDE) Folate DFE, mcg_DFE","DDE Folate DFE, mcg_DFE"
DTTFOL9,"Daily Dietary Estimate (DDE) Folate, mcg","DDE Folate, mcg"
GMSOLID9,"Daily Dietary Estimate (DDE) Grams Solid Food","DDE Grams Solid Food"
DTTFE9,"Daily Dietary Estimate (DDE) Iron, mg","DDE Iron, mg"
DTTKCAL9,"Daily Dietary Estimate (DDE) Kilocalories (KCAL) - total caloric intake","DDE KCAL - total caloric intake"
BATKCAL9,"Daily Dietary Estimate (DDE) Kilocalories (KCAL) before alcohol total","DDE KCAL before alcohol total"
DTTSWET9,"Daily Dietary Estimate (DDE) Kilocalories (KCAL) fm Sweets, kcal","DDE KCAL fm Sweets, kcal"
DTTALCH9,"Daily Dietary Estimate (DDE) Kilocalories (KCAL) from Alcoholic Beverage","DDE KCAL from Alcoholic Bev"
DTTLIN9,"Daily Dietary Estimate (DDE) Linoleic Acid, gms","DDE Linoleic Acid, gms"
DTTMG9,"Daily Dietary Estimate (DDE) Magnesium, mg","DDE Magnesium, mg"
BATNIAC9,"Daily Dietary Estimate (DDE) Niacin before alcohol total, mg","DDE Niacin before alcohol total, mg"
DTTNIAC9,"Daily Dietary Estimate (DDE) Niacin, mg","DDE Niacin, mg"
DTTOLEC9,"Daily Dietary Estimate (DDE) Oleic Acid, gms","DDE Oleic Acid, gms"
BATPHOS9,"Daily Dietary Estimate (DDE) Phosphorus before alcohol, mg","DDE Phosphorus before alcohol, mg"
DTTPHOS9,"Daily Dietary Estimate (DDE) Phosphorus, mg","DDE Phos, mg"
BATPOTS9,"Daily Dietary Estimate (DDE) Potassium before alcohol, mg","DDE Potassium before alcohol, mg"
DTTPOTA9,"Daily Dietary Estimate (DDE) Potassium, mg","DDE Potassium, mg"
DTTPROA9,"Daily Dietary Estimate (DDE) Pro-A Carotenes, mcg","DDE Pro-A Carotenes, mcg"
BATPROT9,"Daily Dietary Estimate (DDE) Protein before alcohol, gms","DDE Protein before alcohol, gms"
DTTPROT9,"Daily Dietary Estimate (DDE) Protein, gms","DDE Protein, gms"
DTTRET9,"Daily Dietary Estimate (DDE) Retinol, mcg","DDE Retinol, mcg"
BATRIBO9,"Daily Dietary Estimate (DDE) Riboflavin before alcohol, mg","DDE Riboflavin before alcohol, mg"
DTTRIBO9,"Daily Dietary Estimate (DDE) Riboflavin, mg","DDE Riboflavin, mg"
DTTSFAT9,"Daily Dietary Estimate (DDE) Saturated Fat, gms","DDE Saturated Fat, gms"
DTTNA9,"Daily Dietary Estimate (DDE) Sodium, mg","DDE Sodium, mg"
BATTFAT9,"Daily Dietary Estimate (DDE) Total Fat before alcohol, gms","DDE Total Fat before alcohol, gms"
DTTVITC9,"Daily Dietary Estimate (DDE) Vitamin C, mg","DDE Vitamin C, mg"
DTTVITE9,"Daily Dietary Estimate (DDE) Vitamin E, a-TE","DDE Vitamin E, a-TE"
DTTZINC9,"Daily Dietary Estimate (DDE) Zinc, mg","DDE Zinc, mg"
DTTARE9,"Daily Dietary Estimate (DDE) retinol equivalents","DDE retinol equivalents"
CYCDAY9,"Day of cycle","Day of cycle"
HYSTDAY9,"Day of hysterectomy","Since your last study visit, have you had any of the following surgeries or procedures? Hysterectomy (an operation to remove your uterus or womb)? When was this performed?"
BLEDAY9,"Day that you started to bleed","If YES to STRTPER9: What is the date that you started to bleed?"
HOMEXPD9,"Days exposed to smoke in home past week","During the past 7 days, on how many days were you exposed to tobacco smoke inside your home?"
LEKDAYS9,"Days leaked urine in last month","In the last month, about how many days have you lost any urine, even a small amount, beyond your control?"
DHAS9,"Dehydroepiandrosterone sulfate (ug/dL)","Dehydroepiandrosterone sulfate (ug/dL)"
DESCPER9,"Describe your menstrual periods","During times when you were not using birth control pills or other hormone medications: Which of the following best describes your menstrual periods since your last study visit? Have they:"
DETEPAN9,"Determined this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Determined"
DIABETE9,"Diabetes since last visit","Since your last study visit, has a doctor, nurse practitioner or other health care provider told you that you had any of the following conditions or treated you for them? Diabetes?"
DIABP19,"Diastolic Blood Pressure #1","Diastolic BP #1"
DIABP29,"Diastolic Blood Pressure #2","Diastolic BP #2"
HAVEPER9,"Did not like having periods","Since your last study visit, you were taking hormones and then stopped. What were your reasons for stopping? Didn't like having periods"
LIKEFEL9,"Did not like how felt on them","Since your last study visit, you were taking hormones and then stopped. What were your reasons for stopping? Didn't like how I felt on them"
ALLBCAR9,"Diet + Supplement BetaCarotene, mcg","Diet+Suppl BetaCarotene, mcg"
ALLCALC9,"Diet + Supplement Calcium, mg","Diet+Suppl Calcium, mg"
ALLFOL9,"Diet + Supplement Folic acid, mcg","Diet+Suppl Folic acid, mcg"
ALLIRON9,"Diet + Supplement Iron, mg","Diet+Suppl Iron, mg"
ALLARE9,"Diet + Supplement Vitamin A, retinol equiv.","Diet+Suppl Vitamin A, retinol equiv."
ALLB19,"Diet + Supplement Vitamin B1, mg","Diet+Suppl Vitamin B1, mg"
ALLB129,"Diet + Supplement Vitamin B12, mcg","Diet+suppl Vitamin B12, mcg"
ALLB69,"Diet + Supplement Vitamin B6, mg","Diet+Suppl Vitamin B6, mg"
ALLVITC9,"Diet + Supplement Vitamin C, mg","Diet+Suppl Vitamin C, mg"
ALLVITD9,"Diet + Supplement Vitamin D, IU","Diet+Suppl Vitamin D, IU"
ALLVITE9,"Diet + Supplement Vitamin E, a-TE","Diet+Suppl Vitamin E, a-TE"
ALLZINC9,"Diet + Supplement Zinc, mg","Diet+Suppl Zinc, mg"
ALLB29,"Diet [Ribo] + Supplement [B1 (B1=B2)], mg","Diet[Ribo]+ Suppl[B1 (B1=B2)], mg"
PILING9,"Difficulties piling up","In the past two weeks you have: Felt difficulties piling so high that you could not overcome them?"
DIGTOT9,"Digits Backward Total Score","DIGITS BACKWARD TOTAL SCORE"
DIGIT1A9,"Digits Backward: Item 1A","I am going to say some numbers. When I stop, I want you to say them backwards. Ready? 5 - 1"
DIGIT1B9,"Digits Backward: Item 1B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 3 - 8"
DIGIT2A9,"Digits Backward: Item 2A","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 4 - 9 - 3"
DIGIT2B9,"Digits Backward: Item 2B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 5 - 2 - 6"
DIGIT3A9,"Digits Backward: Item 3A","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 3 - 8 - 1 - 4"
DIGIT3B9,"Digits Backward: Item 3B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 1 - 7 - 9 - 5"
DIGIT4A9,"Digits Backward: Item 4A","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 6 - 2 - 9 - 7 - 2"
DIGIT4B9,"Digits Backward: Item 4B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 4 - 8 - 5 - 2 - 7"
DIGIT5A9,"Digits Backward: Item 5A","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 7 - 1 - 5 - 2 - 8 - 6"
DIGIT5B9,"Digits Backward: Item 5B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 8 - 3 - 1 - 9 - 6 - 4"
DIGIT6A9,"Digits Backward: Item 6A","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 4 - 7 - 3 - 9 - 1 - 2 - 8"
DIGIT6B9,"Digits Backward: Item 6B","I am going to say some numbers. When I stop, I want you to say them backwards. Here is another: 8 - 1 - 2 - 9 - 3 - 6 - 3"
NUMDAND9,"Dilation and Curettage (D & C) number of times","Since your last study visit, how many times have you had a D and C? Number of times"
DANDC9,"Dilation and Curettage (D & C) since last visit","Since your last study visit, have you had any of the following surgeries or procedures? D and C, a scraping of the uterus for any reason, including abortion?"
DISIPAN9,"Disinterested this week","Indicate in the space next to each item how strongly you have experienced these feelings this past week: Disinterested"
DIURET19,"Diuretic #1","Since your last study visit, have you taken: Diuretics for water retention?"
DIURTW19,"Diuretic #1 taken 2 times/week for the last month","If YES to DIURET19: Have you been taking it at least two times per week for the last month?"
DIURET29,"Diuretic #2","Since your last study visit, have you taken: Diuretics for water retention?"
DIURTW29,"Diuretic #2 taken 2 times/week for the last month","If YES to DIURET29: Have you been taking it at least two times per week for the last month?"
DIZZY9,"Dizzy spells past 2 weeks","Thinking back over the past two weeks, how often have you had: Dizzy spells?"
NOLIKE9,"Do not like taking any medications","Since your last study visit, you were taking hormones and then stopped. What were your reasons for stopping? Don't like to take any medications"
VOLUNTE9,"Do volunteer work","Do you do volunteer work?"
EXPECT9,"Don't know what to expect with menopause","Now I am going to read you some statements about some personal feelings that women your age may have. Please tell me whether you personally agree, you feel neutral or you disagree with them. Do you personally agree, feel neutral (have no opinion) or disagree?: I don't, or didn't know, what to expect with the menopause."
DNTKNOW9,"Don't know why stopped hormones","Since your last study visit, you were taking hormones and then stopped. What were your reasons for stopping? Don't know"
DONTKNO9,"Don't know/remember why take hormones","I am going to read a list of some reasons why women start taking hormones, not including birth control pills. For each one, please tell me if it is a reason why you started taking hormones: Don't Know/Remember"
NOTRUST9,"Don't trust doctors","People fail to get health care for a variety of reasons. Have any of the following reasons prevented you from getting health care? - Don't trust doctors"
DQUAI9,"Dong Quai","During the past 12 months, have you used any of the following for your health? Dong Quai"
DQUAGEN9,"Dong Quai - General Health","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: For general health?"
DQUAHAR9,"Dong Quai - Heart","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To reduce the risk of heart disease?"
DQUAMEM9,"Dong Quai - Improve Memory","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To improve memory?"
DQUAMEN9,"Dong Quai - Menopausal symptoms","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To relieve menopausal symptoms?"
DQUAOST9,"Dong Quai - Osteoporosis","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To reduce the risk of osteoporosis?"
DQUAOTH9,"Dong Quai - Other reason","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: Is there any other reason you use Dong Quai?"
DQUASPE9,"Dong Quai - Other specify","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: Is there any other reason you use Dong Quai? Specify"
DQUAADV9,"Dong Quai - Provider advice","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: On advice from health care provider?"
DQUAPER9,"Dong Quai - Regulate Periods","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To regulate periods?"
DQUAWGH9,"Dong Quai - Weight","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To lose weight or to stay the same weight?"
DQUALOO9,"Dong Quai - Young Looking","If YES to DQUAI9: Please tell me whether or not you use Dong Quai: To stay young-looking?"
GRAYHAI9,"Dreaded gray hair","Please indicate the extent you personally agree or disagree with the following statements about yourself: I have never dreaded the day I would look in the mirror and see gray hairs."
